lat,lon,univ_research_count_5000m
18.2164282,42.5043596,0
18.2257012,109.5234378,0
18.281833,83.8176417,1
18.4713775,73.8644697,4
18.513149,73.9336846,0
18.5133081,73.8267363,42
18.5160076,73.8295661,45
18.5203769,73.8380323,46
18.5213738,73.8545071,38
18.5231055,73.8149769,51
18.5306214,73.8568326,42
18.5560538,73.7640821,16
18.5618834,73.8101957,44
18.7358406,105.6906101,2
18.738569,78.0572174,0
18.7425866,73.6366603,0
18.7897587,-96.7310109,1
18.7966977,98.9526185,34
18.8009264,98.9521552,34
18.833333,-98.0,0
18.8812875,82.552768,1
18.9225812,72.8282047,5
18.9276624,72.8270393,7
18.9331321,-99.2599579,6
19.0,-90.5,0
19.0239129,72.8587665,9
19.029965,99.8935287,1
19.0336451,72.9263641,7
19.0337334,72.9255983,7
19.0437196,-98.1981486,53
19.0479067,83.8341852,1
19.0544632,-98.284968,9
19.054999,72.8692035,12
19.092952,74.7493451,1
19.1100909,72.837774,5
19.1319425,72.9165558,0
19.1326186,72.9149702,0
19.1793913,72.9729592,1
19.2000001,109.5999999,0
19.214327,-103.8083577,6
19.2855592,-99.1056005,14
19.2992205,84.8815861,1
19.3207722,-99.1514678,95
19.321597,-99.1849259,96
19.3309286,-99.1143437,17
19.345143,-99.1998346,103
19.3653598,73.3685437,0
19.4234517,-98.1487255,4
19.4326296,-99.1331785,29
19.4906351,74.2466821,0
19.5088255,-99.1312462,10
19.6434881,-99.1267656,7
19.6546004,-101.2623797,7
19.6625795,-102.3698977,0
19.6892955,-101.2066338,24
19.761532,105.782786,4
19.8505861,75.3232052,1
19.877263,75.3390241,2
20.0112475,73.7902364,0
20.013915,-102.7476398,2
20.0462328,110.1956502,0
20.0538582,77.9942367,0
20.0654909,-98.67625,3
20.117735,-101.1380477,1
20.1665373,85.7038488,3
20.1752434,85.7067439,3
20.2558788,85.8411761,4
20.2602964,85.8394521,4
20.2673447,85.7842467,3
20.3012769,85.8280706,3
20.3516715,85.8183142,4
20.3530675,85.8201467,4
20.4126551,41.7777425,0
20.4309237,76.1858349,0
20.5375581,-101.5457869,0
20.547234,-100.8293375,12
20.5650916,-104.0651417,0
20.574145,-100.3708594,9
20.5797386,-100.4108824,15
20.6065846,106.2843471,0
20.626048,-100.1875337,0
20.6308368,-103.3840881,50
20.6805875,-103.4425349,37
20.7211203,-103.3913671,54
20.734053,78.5953617,3
20.784361,-101.3582176,0
20.8667086,106.6685984,11
20.9695521,-89.6230118,13
20.9876996,-101.0,0
21.0069895,105.825101,95
21.0094276,105.5355596,8
21.0100695,75.5696003,7
21.027598,105.8026539,101
21.0283334,105.854041,64
21.0292159,105.8033629,99
21.0477865,105.8009131,83
21.0542531,105.735039,25
