key,count2000
"35.1375,113.143889",0.0
"35.1394101,136.9358602",4.0
"35.1407144,-90.0296716",0.0
"35.1533087,136.9677806",0.0
"35.1536981,-90.0434478",2.0
"35.1567709,126.8543543",0.0
"35.1570966,-90.0279582",1.0
"35.1573568,136.9212989",0.0
"35.1595711,33.3394772",0.0
"35.1746503,33.3638783",0.0
"35.1769099,126.9068927",0.0
"35.1799528,129.0752365",3.0
"35.1851045,136.8998438",0.0
"35.2272086,-80.8430827",0.0
"35.2477266,115.4464761",0.0
"35.2915515,113.9280366",0.0
"35.3072756,25.0824082",0.0
"35.308611,114.051111",0.0
"35.308753,138.9349133",0.0
"35.3115843,46.996071",0.0
"35.3266448,129.0079543",0.0
"35.3376942,139.5239655",1.0
"35.4030614,139.3150172",0.0
"35.4108278,-80.8429304",0.0
"35.4230949,136.7627526",0.0
"35.4233042,133.3367834",0.0
"35.4336651,139.62511",0.0
"35.4342935,139.374753",0.0
"35.4503381,139.6343802",0.0
"35.4715173,139.6275394",0.0
"35.4729886,-97.5170536",0.0
"35.4838815,-97.4973038",0.0
"35.4842868,-97.498633",0.0
"35.5262411,45.4159914",0.0
"35.5306639,139.7037668",0.0
"35.5391697,129.3119136",0.0
"35.549399,140.2647303",0.0
"35.5781041,45.360949",3.0
"35.6006243,139.5491115",0.0
"35.6092008,139.7301982",0.0
"35.613224,-77.3724593",0.0
"35.6246886,139.0969909",1.0
"35.6274364,140.1033825",5.0
"35.6312558,139.7256288",0.0
"35.6328512,-77.4852672",0.0
"35.6442736,139.6761041",0.0
"35.6469025,139.652531",0.0
"35.6544501,139.7053356",0.0
"35.6580089,139.7515137",0.0
"35.665367,139.768287",0.0
"35.6655174,139.7676714",9.0
"35.665913,139.7459082",0.0
"35.6768601,139.7638947",0.0
"35.6787645,139.7872199",4.0
"35.688795,139.734537",0.0
"35.6892523,51.3896004",0.0
"35.6937632,139.7036319",26.0
"35.6983812,139.7203052",44.0
"35.704584,51.394761",35.0
"35.7058628,51.3941557",0.0
"35.7117157,139.7637457",0.0
"35.712016,139.765378",71.0
"35.7153759,139.6073789",0.0
"35.718338,51.3807489",0.0
"35.7214564,51.381677",0.0
"35.7216209,139.932087",0.0
"35.7453219,139.3798647",0.0
"35.7472291,139.802157",0.0
"35.7482708,51.3814338",19.0
"35.7516835,51.3944412",0.0
"35.7613392,140.2944692",0.0
"35.7893408,51.3158327",2.0
"35.8224892,50.9904681",0.0
"35.828022,128.7572223",0.0
"35.8569094,50.9882376",0.0
"35.8664692,128.6048336",0.0
"35.8713,128.6018",0.0
"35.8807796,-78.8405967",0.0
"35.8905697,128.6108553",0.0
"35.8923773,-78.8658899",0.0
"35.8979832,139.9420371",0.0
"35.9007575,-78.8596092",0.0
"35.9050354,-79.0477533",0.0
"35.9131542,-79.05578",0.0
"35.9132074,139.9303503",0.0
"35.9516352,-83.9308819",0.0
"35.9754168,139.4160114",0.0
"35.9822298,139.6099676",0.0
"35.996653,-78.9018053",0.0
"36.0001557,-78.9442297",0.0
"36.0061796,-78.9435114",0.0
"36.0180795,129.3208556",0.0
"36.0526223,103.8394984",0.0
"36.0636494,120.3329267",2.0
"36.0663249,120.3777659",0.0
"36.0687614,140.076617",0.0
